Date,Category,payment mode,Description,cashback,Amount
2024-11-07,Groceries,UPI,Weekly grocery shopping,10.0,442.08
2024-11-23,Insurance,Cash,Settled health insurance bill,0.0,387.61
2024-11-20,Groceries,Cash,Weekly grocery shopping,0.0,99.73
2024-11-03,Transaction,Debit Card,Sent money to relative,0.0,71.41
2024-11-12,Investment,Debit Card,Purchased stocks,0.0,663.6
2024-11-19,Investment,UPI,Purchased stocks,27.81,828.96
2024-11-23,Groceries,Cash,Purchased organic produce,0.0,885.57
2024-11-14,Subscription,UPI,Subscribed to magazine,19.97,414.63
2024-11-05,Bills,Debit Card,Settled water bill,0.0,254.49
2024-11-14,Subscription,Cash,Renewed streaming service subscription,0.0,447.88
2024-11-22,Transaction,Credit Card,Sent money to relative,0.0,786.36
2024-11-10,Subscription,Credit Card,Bought gym membership subscription,0.0,600.14
2024-11-23,Subscription,Cash,Subscribed to magazine,0.0,357.25
2024-11-08,Insurance,UPI,Settled health insurance bill,11.83,16.38
2024-11-12,Investment,UPI,Invested in mutual funds,26.31,757.09
2024-11-06,Health,Cash,Bought medicine from pharmacy,0.0,670.87
2024-11-18,Bills,Cash,Paid phone bill,0.0,31.38
2024-11-01,Health,Debit Card,Paid for doctor consultation,0.0,972.67
2024-11-20,Transaction,Cash,Paid via online transfer,0.0,560.0
2024-11-18,Investment,Debit Card,Invested in mutual funds,0.0,495.18
2024-11-18,Bills,Credit Card,Settled water bill,0.0,925.66
2024-11-01,Transaction,Cash,Paid via online transfer,0.0,394.85
2024-11-15,Groceries,UPI,Bought vegetables and fruits,12.7,185.67
2024-11-11,Groceries,Cash,Purchased organic produce,0.0,772.09
2024-11-11,Investment,Debit Card,Invested in mutual funds,0.0,648.55
2024-11-18,Subscription,Cash,Bought gym membership subscription,0.0,305.0
2024-11-05,Stationery,Credit Card,Bought pens and notebooks,0.0,557.31
2024-11-12,Insurance,Debit Card,Settled health insurance bill,0.0,265.66
2024-11-10,Subscription,Credit Card,Subscribed to magazine,0.0,613.08
2024-11-02,Investment,Debit Card,Invested in bonds,0.0,855.25
2024-11-18,Investment,Credit Card,Invested in bonds,0.0,620.82
2024-11-02,Groceries,Credit Card,Weekly grocery shopping,0.0,555.13
2024-11-17,Investment,Cash,Invested in mutual funds,0.0,358.08
2024-11-07,Investment,Cash,Invested in bonds,0.0,479.53
2024-11-19,Health,Credit Card,Purchased vitamins and supplements,0.0,652.45
2024-11-26,Transaction,Cash,Transferred money to friend,0.0,291.87
2024-11-21,Insurance,Cash,Completed insurance renewal,0.0,281.24
2024-11-13,Stationery,UPI,Bought pens and notebooks,26.0,739.58
2024-11-08,Transaction,Debit Card,Sent money to relative,0.0,474.33
2024-11-18,Insurance,Credit Card,Paid car insurance premium,0.0,446.96
2024-11-23,Groceries,Cash,Bought vegetables and fruits,0.0,358.87
2024-11-10,Groceries,UPI,Weekly grocery shopping,18.35,492.2
2024-11-26,Insurance,Debit Card,Paid car insurance premium,0.0,657.41
2024-11-20,Insurance,Cash,Completed insurance renewal,0.0,802.71
2024-11-22,Investment,Credit Card,Invested in bonds,0.0,126.14
2024-11-02,Groceries,UPI,Bought vegetables and fruits,2.69,573.79
2024-11-12,Insurance,UPI,Settled health insurance bill,36.44,121.68
2024-11-17,Insurance,UPI,Paid car insurance premium,0.1,980.48
2024-11-05,Investment,Credit Card,Invested in mutual funds,0.0,262.18
2024-11-10,Groceries,UPI,Purchased organic produce,18.66,574.53
2024-11-19,Subscription,UPI,Bought gym membership subscription,48.12,818.39
2024-11-16,Investment,UPI,Invested in bonds,40.52,852.26
2024-11-05,Groceries,Cash,Weekly grocery shopping,0.0,391.08
2024-11-28,Transaction,Debit Card,Transferred money to friend,0.0,331.65
2024-11-22,Investment,UPI,Invested in bonds,20.35,926.08
2024-11-23,Subscription,Debit Card,Renewed streaming service subscription,0.0,316.64
2024-11-03,Investment,Credit Card,Invested in mutual funds,0.0,469.2
2024-11-25,Investment,Cash,Purchased stocks,0.0,884.46
2024-11-22,Investment,UPI,Invested in bonds,14.82,218.97
2024-11-21,Health,Debit Card,Paid for doctor consultation,0.0,522.28
2024-11-24,Bills,UPI,Paid phone bill,12.56,771.71
2024-11-01,Bills,Credit Card,Paid electricity bill,0.0,877.29
2024-11-19,Bills,Debit Card,Paid electricity bill,0.0,826.27
2024-11-19,Stationery,Credit Card,Bought pens and notebooks,0.0,40.97
2024-11-02,Bills,UPI,Paid electricity bill,24.11,858.03
2024-11-29,Stationery,Credit Card,Purchased office supplies,0.0,792.1
2024-11-24,Insurance,UPI,Paid car insurance premium,47.84,817.01
2024-11-22,Bills,Credit Card,Paid electricity bill,0.0,377.24
2024-11-03,Transaction,Debit Card,Sent money to relative,0.0,607.75
2024-11-01,Stationery,Cash,Purchased office supplies,0.0,604.18
2024-11-11,Investment,Credit Card,Invested in bonds,0.0,593.67
2024-11-15,Insurance,UPI,Paid car insurance premium,23.46,661.09
2024-11-24,Stationery,UPI,Bought pens and notebooks,24.43,447.06
2024-11-21,Subscription,UPI,Subscribed to magazine,2.08,125.52
2024-11-10,Stationery,UPI,Bought pens and notebooks,17.94,281.59
2024-11-25,Subscription,UPI,Bought gym membership subscription,19.21,669.75
2024-11-03,Investment,Credit Card,Invested in mutual funds,0.0,461.72
2024-11-23,Subscription,Cash,Renewed streaming service subscription,0.0,45.94
2024-11-23,Bills,Debit Card,Settled water bill,0.0,452.25
2024-11-14,Stationery,Credit Card,Purchased office supplies,0.0,397.7
2024-11-06,Transaction,UPI,Transferred money to friend,23.11,656.5
2024-11-06,Transaction,Credit Card,Sent money to relative,0.0,82.56
2024-11-13,Subscription,Cash,Renewed streaming service subscription,0.0,741.63
2024-11-19,Subscription,Debit Card,Subscribed to magazine,0.0,188.1
2024-11-16,Investment,UPI,Invested in bonds,32.34,775.59
2024-11-08,Transaction,Cash,Paid via online transfer,0.0,281.01
2024-11-01,Insurance,UPI,Completed insurance renewal,6.67,687.82
2024-11-20,Bills,Cash,Settled water bill,0.0,348.69
2024-11-20,Subscription,UPI,Subscribed to magazine,29.46,814.77
2024-11-25,Bills,Debit Card,Settled water bill,0.0,639.27
2024-11-17,Health,Credit Card,Bought medicine from pharmacy,0.0,446.83
2024-12-17,Bills,Debit Card,Paid electricity bill,0.0,422.89
2024-12-12,Transaction,Cash,Paid via online transfer,0.0,542.21
2024-12-25,Insurance,Credit Card,Completed insurance renewal,0.0,461.84
2024-12-01,Investment,Cash,Invested in bonds,0.0,320.32
2024-12-01,Health,Cash,Purchased vitamins and supplements,0.0,404.54
2024-12-11,Groceries,Cash,Purchased organic produce,0.0,819.6
2024-12-07,Subscription,Debit Card,Renewed streaming service subscription,0.0,707.76
2024-12-07,Insurance,Debit Card,Settled health insurance bill,0.0,295.78
2024-12-24,Health,Credit Card,Purchased vitamins and supplements,0.0,333.37
2024-12-02,Investment,Debit Card,Invested in bonds,0.0,480.48
2024-12-24,Bills,UPI,Settled water bill,12.77,422.3
2024-12-09,Transaction,UPI,Paid via online transfer,47.78,822.72
2024-12-08,Investment,Credit Card,Invested in bonds,0.0,505.47
2024-12-30,Investment,Credit Card,Invested in bonds,0.0,805.56
2024-12-23,Groceries,Debit Card,Purchased organic produce,0.0,568.56
2024-12-25,Insurance,Debit Card,Completed insurance renewal,0.0,300.9
2024-12-23,Investment,Credit Card,Invested in bonds,0.0,541.34
2024-12-08,Transaction,UPI,Sent money to relative,36.54,662.68
2024-12-03,Bills,Credit Card,Paid phone bill,0.0,776.59
2024-12-15,Transaction,Credit Card,Transferred money to friend,0.0,903.84
2024-12-08,Health,Credit Card,Paid for doctor consultation,0.0,575.06
2024-12-14,Insurance,Credit Card,Completed insurance renewal,0.0,25.59
2024-12-21,Transaction,Credit Card,Transferred money to friend,0.0,657.88
2024-12-01,Investment,UPI,Invested in mutual funds,43.34,43.0
2024-12-19,Stationery,Credit Card,Bought pens and notebooks,0.0,206.67
2024-12-22,Bills,Credit Card,Paid phone bill,0.0,124.26
2024-12-11,Stationery,Debit Card,Stationery shopping for school,0.0,719.92
2024-12-21,Groceries,Credit Card,Bought vegetables and fruits,0.0,135.2
2024-12-08,Subscription,Cash,Subscribed to magazine,0.0,916.01
2024-12-30,Health,Cash,Paid for doctor consultation,0.0,328.95
2024-12-05,Insurance,Credit Card,Settled health insurance bill,0.0,416.92
2024-12-13,Groceries,UPI,Purchased organic produce,40.83,594.67
2024-12-22,Investment,Debit Card,Purchased stocks,0.0,814.75
2024-12-27,Stationery,Debit Card,Stationery shopping for school,0.0,887.77
2024-12-09,Transaction,Debit Card,Transferred money to friend,0.0,927.14
2024-12-27,Stationery,Cash,Purchased office supplies,0.0,654.32
2024-12-29,Insurance,Debit Card,Paid car insurance premium,0.0,473.09
2024-12-08,Bills,Cash,Paid phone bill,0.0,417.61
2024-12-29,Investment,Debit Card,Invested in bonds,0.0,50.64
2024-12-17,Bills,Cash,Settled water bill,0.0,946.58
2024-12-08,Bills,Cash,Settled water bill,0.0,703.09
2024-12-03,Transaction,Credit Card,Transferred money to friend,0.0,169.26
2024-12-22,Investment,UPI,Invested in bonds,20.91,112.53
2024-12-13,Insurance,Cash,Paid car insurance premium,0.0,662.01
2024-12-15,Groceries,Cash,Weekly grocery shopping,0.0,792.38
2024-12-26,Groceries,Debit Card,Purchased organic produce,0.0,374.63
2024-12-03,Transaction,Cash,Paid via online transfer,0.0,297.02
2024-12-06,Insurance,Debit Card,Paid car insurance premium,0.0,224.24
2024-12-23,Groceries,UPI,Weekly grocery shopping,35.23,655.11
2024-12-30,Stationery,Debit Card,Stationery shopping for school,0.0,205.93
2024-12-21,Health,Debit Card,Purchased vitamins and supplements,0.0,299.75
2024-12-05,Groceries,Debit Card,Bought vegetables and fruits,0.0,46.38
2024-12-22,Bills,Credit Card,Paid phone bill,0.0,963.4
2024-12-15,Insurance,Cash,Settled health insurance bill,0.0,734.37
2024-12-17,Insurance,UPI,Paid car insurance premium,16.23,612.08
2024-12-14,Investment,Debit Card,Invested in bonds,0.0,112.95
2024-12-28,Investment,Cash,Invested in mutual funds,0.0,29.52
2024-12-09,Groceries,Credit Card,Weekly grocery shopping,0.0,923.93
2024-12-05,Health,Credit Card,Bought medicine from pharmacy,0.0,428.6
2024-12-07,Groceries,UPI,Bought vegetables and fruits,25.09,50.07
2024-12-13,Subscription,Debit Card,Renewed streaming service subscription,0.0,726.07
2024-12-01,Bills,Cash,Paid electricity bill,0.0,871.06
2024-12-17,Insurance,UPI,Completed insurance renewal,15.63,258.5
2024-12-08,Investment,Debit Card,Purchased stocks,0.0,921.76
2024-12-29,Insurance,Credit Card,Completed insurance renewal,0.0,94.66
2024-12-27,Transaction,UPI,Sent money to relative,38.5,139.16
2024-12-20,Stationery,Credit Card,Purchased office supplies,0.0,692.03
2024-12-17,Health,UPI,Bought medicine from pharmacy,34.1,165.87
2024-12-26,Subscription,Cash,Bought gym membership subscription,0.0,244.06
2024-12-13,Insurance,Cash,Settled health insurance bill,0.0,400.81
2024-12-06,Transaction,UPI,Paid via online transfer,32.22,41.22
2024-12-05,Investment,Credit Card,Invested in mutual funds,0.0,611.29
2024-12-27,Subscription,Debit Card,Subscribed to magazine,0.0,262.88
2024-12-28,Subscription,Cash,Renewed streaming service subscription,0.0,424.35
2024-12-13,Insurance,Debit Card,Completed insurance renewal,0.0,167.6
2024-12-19,Subscription,Debit Card,Bought gym membership subscription,0.0,619.86
2024-12-13,Health,Debit Card,Bought medicine from pharmacy,0.0,304.62
2024-12-07,Stationery,Debit Card,Stationery shopping for school,0.0,92.42
2024-12-12,Stationery,Credit Card,Bought pens and notebooks,0.0,272.47
2024-12-28,Subscription,UPI,Bought gym membership subscription,35.61,799.57
2024-12-13,Bills,Cash,Settled water bill,0.0,583.5
2024-12-20,Investment,UPI,Invested in mutual funds,46.63,298.57
2024-12-18,Groceries,Credit Card,Weekly grocery shopping,0.0,879.24
2024-12-17,Groceries,Debit Card,Bought vegetables and fruits,0.0,375.69
2024-12-21,Investment,Cash,Invested in bonds,0.0,515.15
2024-12-20,Insurance,Cash,Paid car insurance premium,0.0,434.19
2024-12-24,Investment,Debit Card,Invested in bonds,0.0,627.63
2024-12-03,Investment,UPI,Invested in mutual funds,2.15,805.96
2024-12-20,Bills,Cash,Settled water bill,0.0,946.5
2024-12-18,Subscription,Debit Card,Renewed streaming service subscription,0.0,445.52
2024-12-08,Subscription,UPI,Bought gym membership subscription,21.49,915.29
2024-12-16,Health,Credit Card,Purchased vitamins and supplements,0.0,223.18
2024-12-21,Bills,Debit Card,Paid electricity bill,0.0,54.39
2024-12-05,Transaction,Credit Card,Transferred money to friend,0.0,906.72
2024-12-28,Stationery,Debit Card,Purchased office supplies,0.0,338.19
2024-12-23,Transaction,Cash,Transferred money to friend,0.0,480.85
2024-12-14,Transaction,Cash,Transferred money to friend,0.0,31.04
2024-12-09,Insurance,UPI,Settled health insurance bill,47.7,34.33
2024-12-04,Subscription,Debit Card,Subscribed to magazine,0.0,799.25
2024-12-06,Investment,Debit Card,Purchased stocks,0.0,88.69
2025-01-23,Transaction,Cash,Paid via online transfer,0.0,994.25
2025-01-05,Bills,Credit Card,Paid electricity bill,0.0,800.02
2025-01-05,Groceries,Debit Card,Bought vegetables and fruits,0.0,569.32
2025-01-05,Health,UPI,Purchased vitamins and supplements,31.53,116.81
2025-01-02,Bills,Credit Card,Paid electricity bill,0.0,186.7
2025-01-01,Groceries,Debit Card,Weekly grocery shopping,0.0,388.1
2025-01-30,Subscription,Debit Card,Bought gym membership subscription,0.0,983.59
2025-01-26,Investment,Cash,Invested in bonds,0.0,615.5
2025-01-24,Groceries,UPI,Purchased organic produce,39.59,55.02
2025-01-20,Health,UPI,Purchased vitamins and supplements,0.18,314.58
2025-01-07,Insurance,Cash,Settled health insurance bill,0.0,654.71
2025-01-01,Health,Cash,Bought medicine from pharmacy,0.0,224.05
2025-01-24,Stationery,Debit Card,Purchased office supplies,0.0,276.49
2025-01-16,Bills,Debit Card,Paid electricity bill,0.0,347.77
2025-01-12,Stationery,Debit Card,Stationery shopping for school,0.0,277.54
2025-01-17,Health,UPI,Paid for doctor consultation,24.74,813.89
2025-01-21,Bills,Debit Card,Paid electricity bill,0.0,172.29
2025-01-04,Stationery,Cash,Purchased office supplies,0.0,589.73
2025-01-25,Subscription,Debit Card,Renewed streaming service subscription,0.0,10.09
2025-01-02,Investment,Cash,Invested in bonds,0.0,637.66
2025-01-19,Health,UPI,Bought medicine from pharmacy,22.31,97.32
2025-01-20,Health,Cash,Paid for doctor consultation,0.0,954.85
2025-01-08,Groceries,UPI,Purchased organic produce,44.82,309.81
2025-01-22,Groceries,Debit Card,Purchased organic produce,0.0,319.52
2025-01-27,Bills,Debit Card,Paid electricity bill,0.0,743.89
2025-01-08,Subscription,Debit Card,Renewed streaming service subscription,0.0,164.54
2025-01-05,Health,Credit Card,Paid for doctor consultation,0.0,924.63
2025-01-06,Health,UPI,Purchased vitamins and supplements,34.45,43.72
2025-01-02,Stationery,Credit Card,Bought pens and notebooks,0.0,577.28
2025-01-05,Investment,Cash,Invested in mutual funds,0.0,421.0
2025-01-22,Subscription,UPI,Renewed streaming service subscription,12.8,306.76
2025-01-27,Health,Credit Card,Purchased vitamins and supplements,0.0,550.41
2025-01-06,Bills,Cash,Settled water bill,0.0,833.9
2025-01-27,Groceries,Debit Card,Bought vegetables and fruits,0.0,971.32
2025-01-23,Transaction,Credit Card,Paid via online transfer,0.0,840.14
2025-01-14,Groceries,Cash,Purchased organic produce,0.0,406.24
2025-01-15,Subscription,Cash,Subscribed to magazine,0.0,985.87
2025-01-02,Insurance,Credit Card,Settled health insurance bill,0.0,147.35
2025-01-11,Health,UPI,Bought medicine from pharmacy,15.39,299.6
2025-01-22,Stationery,Debit Card,Bought pens and notebooks,0.0,242.61
2025-01-11,Bills,Cash,Paid electricity bill,0.0,392.53
2025-01-28,Stationery,Cash,Bought pens and notebooks,0.0,109.42
2025-01-22,Insurance,Credit Card,Paid car insurance premium,0.0,449.5
2025-01-23,Bills,UPI,Settled water bill,42.08,96.21
2025-01-21,Investment,UPI,Invested in mutual funds,40.98,688.46
2025-01-22,Subscription,Cash,Subscribed to magazine,0.0,282.77
2025-01-19,Groceries,Debit Card,Purchased organic produce,0.0,623.94
2025-01-24,Groceries,UPI,Weekly grocery shopping,15.95,666.55
2025-01-23,Health,Credit Card,Purchased vitamins and supplements,0.0,843.44
2025-01-01,Health,Cash,Paid for doctor consultation,0.0,193.27
2025-01-22,Health,UPI,Paid for doctor consultation,11.89,588.66
2025-01-12,Investment,Debit Card,Invested in bonds,0.0,772.11
2025-01-19,Investment,UPI,Purchased stocks,23.19,567.07
2025-01-23,Groceries,Debit Card,Purchased organic produce,0.0,115.97
2025-01-26,Subscription,Credit Card,Renewed streaming service subscription,0.0,658.49
2025-01-12,Stationery,Credit Card,Bought pens and notebooks,0.0,118.06
2025-01-01,Groceries,Debit Card,Purchased organic produce,0.0,903.39
2025-01-02,Investment,Credit Card,Invested in mutual funds,0.0,865.44
2025-01-19,Health,Credit Card,Bought medicine from pharmacy,0.0,636.63
2025-01-23,Health,Credit Card,Paid for doctor consultation,0.0,267.59
2025-01-02,Subscription,Cash,Bought gym membership subscription,0.0,833.19
2025-01-21,Stationery,Cash,Stationery shopping for school,0.0,650.03
2025-01-30,Transaction,UPI,Sent money to relative,31.12,709.79
2025-01-26,Transaction,Credit Card,Sent money to relative,0.0,889.29
2025-01-30,Investment,UPI,Invested in mutual funds,12.63,222.25
2025-01-01,Stationery,Cash,Bought pens and notebooks,0.0,178.89
2025-01-23,Bills,Credit Card,Paid electricity bill,0.0,366.71
2025-01-01,Bills,UPI,Settled water bill,15.09,516.89
2025-01-23,Transaction,Cash,Sent money to relative,0.0,837.93
2025-01-02,Transaction,Debit Card,Sent money to relative,0.0,477.91
2025-01-05,Health,Debit Card,Paid for doctor consultation,0.0,421.12
2025-01-16,Transaction,Cash,Transferred money to friend,0.0,330.26
2025-01-22,Stationery,UPI,Purchased office supplies,27.5,615.6
2025-01-30,Transaction,UPI,Transferred money to friend,2.33,129.37
2025-01-30,Groceries,UPI,Weekly grocery shopping,27.02,759.43
2025-01-12,Transaction,Credit Card,Paid via online transfer,0.0,987.22
2025-01-25,Subscription,Debit Card,Bought gym membership subscription,0.0,104.83
2025-01-24,Groceries,Credit Card,Purchased organic produce,0.0,148.15
2025-01-21,Investment,Debit Card,Invested in bonds,0.0,592.16
2025-01-09,Groceries,Debit Card,Bought vegetables and fruits,0.0,485.55
2025-01-04,Subscription,UPI,Renewed streaming service subscription,4.56,902.81
2025-01-11,Subscription,UPI,Bought gym membership subscription,17.05,284.64
2025-01-06,Investment,UPI,Invested in mutual funds,2.92,307.31
2025-01-24,Bills,Credit Card,Settled water bill,0.0,259.0
2025-01-07,Transaction,Credit Card,Paid via online transfer,0.0,498.06
2025-01-23,Bills,Debit Card,Settled water bill,0.0,566.76
2025-01-15,Insurance,Cash,Paid car insurance premium,0.0,686.86
2025-01-06,Investment,Debit Card,Purchased stocks,0.0,351.75
2025-01-16,Groceries,Debit Card,Weekly grocery shopping,0.0,316.21
2025-01-27,Investment,Credit Card,Invested in mutual funds,0.0,848.95
2025-01-03,Stationery,Credit Card,Stationery shopping for school,0.0,164.06
2025-01-11,Stationery,Credit Card,Stationery shopping for school,0.0,806.25
2025-01-01,Subscription,Cash,Bought gym membership subscription,0.0,464.28
2025-01-05,Transaction,Credit Card,Sent money to relative,0.0,942.55
2025-01-02,Stationery,Credit Card,Stationery shopping for school,0.0,908.09
2025-01-27,Insurance,Debit Card,Settled health insurance bill,0.0,158.09
2025-01-25,Insurance,Credit Card,Settled health insurance bill,0.0,506.36
2025-01-14,Stationery,Cash,Stationery shopping for school,0.0,757.28
2025-01-15,Groceries,Credit Card,Weekly grocery shopping,0.0,233.62
2025-01-17,Insurance,Credit Card,Settled health insurance bill,0.0,170.92
2025-02-15,Stationery,UPI,Purchased office supplies,27.9,822.91
2025-02-24,Groceries,UPI,Bought vegetables and fruits,24.0,978.55
2025-02-22,Stationery,UPI,Purchased office supplies,15.4,522.8
2025-02-09,Insurance,Debit Card,Settled health insurance bill,0.0,662.39
2025-02-24,Subscription,Debit Card,Bought gym membership subscription,0.0,202.25
2025-02-14,Groceries,Credit Card,Bought vegetables and fruits,0.0,982.02
2025-02-27,Transaction,Debit Card,Transferred money to friend,0.0,52.89
2025-02-04,Insurance,Debit Card,Completed insurance renewal,0.0,574.34
2025-02-27,Groceries,Debit Card,Purchased organic produce,0.0,60.02
2025-02-16,Transaction,Debit Card,Sent money to relative,0.0,286.81
2025-02-17,Groceries,Cash,Weekly grocery shopping,0.0,623.5
2025-02-01,Bills,UPI,Settled water bill,11.79,510.4
2025-02-04,Investment,Credit Card,Purchased stocks,0.0,45.82
2025-02-17,Insurance,Debit Card,Settled health insurance bill,0.0,716.52
2025-02-12,Bills,Cash,Paid electricity bill,0.0,912.99
2025-02-21,Subscription,Cash,Renewed streaming service subscription,0.0,326.83
2025-02-21,Health,Cash,Bought medicine from pharmacy,0.0,42.54
2025-02-03,Bills,Cash,Settled water bill,0.0,323.82
2025-02-05,Bills,Cash,Paid phone bill,0.0,241.07
2025-02-27,Subscription,Credit Card,Bought gym membership subscription,0.0,609.36
2025-02-02,Insurance,Debit Card,Completed insurance renewal,0.0,805.08
2025-02-22,Bills,Credit Card,Paid phone bill,0.0,679.19
2025-02-02,Insurance,Cash,Paid car insurance premium,0.0,603.45
2025-02-21,Transaction,UPI,Sent money to relative,29.4,695.53
2025-02-23,Bills,Credit Card,Paid electricity bill,0.0,476.88
2025-02-13,Investment,Debit Card,Purchased stocks,0.0,353.28
2025-02-26,Transaction,Debit Card,Sent money to relative,0.0,972.01
2025-02-27,Bills,Credit Card,Paid phone bill,0.0,304.1
2025-02-01,Insurance,Credit Card,Completed insurance renewal,0.0,993.47
2025-02-10,Health,Debit Card,Bought medicine from pharmacy,0.0,853.65
2025-02-07,Stationery,Debit Card,Stationery shopping for school,0.0,361.36
2025-02-10,Bills,Cash,Paid phone bill,0.0,654.11
2025-02-27,Stationery,Cash,Stationery shopping for school,0.0,200.69
2025-02-08,Insurance,Cash,Settled health insurance bill,0.0,724.68
2025-02-02,Stationery,UPI,Purchased office supplies,44.05,550.93
2025-02-17,Health,Cash,Paid for doctor consultation,0.0,669.07
2025-02-26,Insurance,Credit Card,Settled health insurance bill,0.0,158.84
2025-02-11,Insurance,Cash,Paid car insurance premium,0.0,593.3
2025-02-15,Investment,Cash,Purchased stocks,0.0,196.4
2025-02-04,Subscription,Credit Card,Renewed streaming service subscription,0.0,302.24
2025-02-09,Health,Debit Card,Purchased vitamins and supplements,0.0,246.69
2025-02-18,Health,UPI,Purchased vitamins and supplements,39.15,940.64
2025-02-04,Stationery,UPI,Bought pens and notebooks,26.49,570.76
2025-02-12,Subscription,UPI,Bought gym membership subscription,49.76,29.52
2025-02-18,Bills,Debit Card,Paid phone bill,0.0,519.92
2025-02-12,Investment,Debit Card,Invested in bonds,0.0,381.57
2025-02-12,Insurance,UPI,Completed insurance renewal,31.38,141.82
2025-02-26,Subscription,Debit Card,Bought gym membership subscription,0.0,511.06
2025-02-15,Groceries,Debit Card,Bought vegetables and fruits,0.0,773.75
2025-02-09,Transaction,Cash,Transferred money to friend,0.0,372.76
2025-02-23,Bills,Cash,Settled water bill,0.0,394.87
2025-02-06,Bills,Cash,Paid electricity bill,0.0,194.49
2025-02-11,Investment,UPI,Invested in mutual funds,42.74,116.8
2025-02-23,Stationery,Credit Card,Purchased office supplies,0.0,611.17
2025-02-05,Bills,UPI,Settled water bill,8.3,183.35
2025-02-03,Investment,Cash,Purchased stocks,0.0,581.91
2025-02-11,Investment,Credit Card,Invested in mutual funds,0.0,64.14
2025-02-16,Health,Debit Card,Bought medicine from pharmacy,0.0,11.93
2025-02-11,Insurance,UPI,Completed insurance renewal,35.13,991.7
2025-02-14,Investment,UPI,Invested in mutual funds,10.62,881.96
2025-02-23,Insurance,Credit Card,Paid car insurance premium,0.0,833.02
2025-02-12,Transaction,Debit Card,Sent money to relative,0.0,104.68
2025-02-17,Insurance,Cash,Settled health insurance bill,0.0,976.76
2025-02-01,Insurance,Debit Card,Settled health insurance bill,0.0,858.91
2025-02-11,Subscription,Debit Card,Bought gym membership subscription,0.0,754.51
2025-02-05,Transaction,Credit Card,Paid via online transfer,0.0,497.63
2025-02-01,Bills,Credit Card,Paid electricity bill,0.0,664.36
2025-02-18,Insurance,UPI,Completed insurance renewal,35.6,553.96
2025-02-21,Investment,UPI,Invested in mutual funds,34.04,221.18
2025-02-16,Investment,Cash,Purchased stocks,0.0,846.16
2025-02-08,Health,Credit Card,Bought medicine from pharmacy,0.0,997.06
2025-02-05,Transaction,Debit Card,Transferred money to friend,0.0,720.81
2025-02-07,Insurance,Credit Card,Paid car insurance premium,0.0,140.47
2025-02-15,Subscription,Debit Card,Renewed streaming service subscription,0.0,978.55
2025-02-05,Stationery,Debit Card,Bought pens and notebooks,0.0,53.86
2025-02-06,Insurance,Debit Card,Completed insurance renewal,0.0,40.55
2025-02-20,Transaction,Cash,Sent money to relative,0.0,213.02
2025-02-04,Insurance,Credit Card,Settled health insurance bill,0.0,749.08
2025-02-11,Insurance,Cash,Settled health insurance bill,0.0,406.53
2025-02-08,Health,Cash,Purchased vitamins and supplements,0.0,291.24
2025-02-23,Stationery,Debit Card,Purchased office supplies,0.0,282.94
2025-02-26,Groceries,UPI,Bought vegetables and fruits,44.11,527.28
2025-02-04,Bills,Credit Card,Paid phone bill,0.0,32.92
2025-02-01,Investment,Cash,Invested in mutual funds,0.0,432.83
2025-02-22,Bills,Credit Card,Paid electricity bill,0.0,212.61
2025-02-22,Subscription,UPI,Bought gym membership subscription,23.6,673.75
2025-02-25,Transaction,UPI,Paid via online transfer,34.1,384.48
2025-02-27,Groceries,UPI,Purchased organic produce,33.24,744.83
2025-02-03,Stationery,Debit Card,Stationery shopping for school,0.0,708.6
2025-02-12,Insurance,Credit Card,Paid car insurance premium,0.0,773.21
2025-02-08,Insurance,UPI,Completed insurance renewal,42.4,719.76
2025-02-19,Stationery,UPI,Bought pens and notebooks,21.41,592.76
2025-02-16,Bills,Debit Card,Paid electricity bill,0.0,833.37
2025-02-27,Health,UPI,Bought medicine from pharmacy,25.63,794.01
2025-02-03,Insurance,UPI,Completed insurance renewal,18.28,866.28
2025-02-15,Subscription,Credit Card,Renewed streaming service subscription,0.0,11.27
2025-02-08,Health,Credit Card,Bought medicine from pharmacy,0.0,806.23
2025-02-17,Health,Cash,Purchased vitamins and supplements,0.0,307.87
2025-02-19,Stationery,Debit Card,Bought pens and notebooks,0.0,528.02
2025-02-14,Stationery,Credit Card,Stationery shopping for school,0.0,159.73
